source_sentence ,target_sentence
"Y los hijos de Josías fueron Jeconías y sus hermanos, en el tiempo de la deportación a Babilonia.","Josias ne, me vëhë xi xutachanga xi má nahmi rë Jeconías cojo hntsë cha. Nixtin hya ne, xutaxín ne, cafahaxin me xuta nangui rë Israel, quijicojo me xuta jan nangui Babilonia."
"Y después de la deportación a Babilonia, Jeconías tuvo un hijo Salatiel; y Salatiel a Zorobabel;","Hane xi cama quiji me Babilonia, Jeconías vë ne, camá me vëhë xutachanga xi má nahmi rë Salatiel. Salatiel ne, me vëhë xi xutachanga xi má nahmi rë Zorobabel."
Y Zorobabel tuvo a Abiud  y Abiud tuvo a Eliaquim  y Eliaquim a Azor,"Zorobabel ne, me vëhë xi xutachanga xi má nahmi rë Abiud. Abiud ne, me vëhë xi xutachanga xi má nahmi rë Eliaquim. Eliaquim ne, me vëhë xi xutachanga xi má nahmi rë Azor."
Y Azor a Sadoc  y Sadoc tuvo Aquim  y Aquim tuvo a Eliud,"Azor ne, me vëhë xi xutachanga xi má nahmi rë Sadoc. Sadoc ne, me vëhë xi xutachanga xi má nahmi rë Aquim. Aquim ne, me vëhë xi xutachanga xi má nahmi rë Eliud."
Y Eliud tuvo a Eleazar  y Eleazar a Matán  y Matán tuvo a Jacobo,"Eliud ne, me vëhë xi xutachanga xi má nahmi rë Eleazar. Eleazar ne, me vëhë xi xutachanga xi má nahmi rë Matán. Matán ne, me vëhë xi xutachanga xi má nahmi rë Jacob."
"Y el hijo de Jacobo fue José, marido de María, que dio a luz a Jesús, llamado el Cristo.","Jacob ne, má me nahmi rë José, xihin rë María naa rë Jesús me xi hacuaha yaha ñihi rë Mesías."
"De manera que todas las generaciones desde Abraham hasta David son catorce generaciones; y desde David hasta la deportación a Babilonia, catorce generaciones; y de la deportación a Babilonia a la venida de Cristo, catorce generaciones.","Cuatjin camá xi cavatju teñuju ndiya xi cavatju xi cjín xuta tisetsin me nixtin rë Abraham hisca nixtin rë David. Hacuaha cama teñuju ndiya xi cjín xuta tisetsin me nixtin rë David hisca hya xi xutaxín jan ne, cafahaxin me xuta nangui rë Israel, quijicojo me xuta nangui Babilonia. Hane hacuaha camá teñuju ndiya tsëhë nixtin hya hisca nixtin xi catsin Mesías."
"Ahora el nacimiento de Jesucristo fue de esta manera: cuando su madre, María, iba a casarse con José, antes de que se unieran, se descubrió que estaba encinta por el Espíritu Santo.","Cuitjin camá nixtin xi catsin Jesucristu: María, naa rë Jesús ne, tacun vasen cjuavixan rë na cojo José. Peru chaja sa xi cjuaha xicjin na cojo me ne, casacu rë na quihndi ngatsë rë Hasen rë Nina."
"Y José, su esposo, siendo un hombre recto, y no deseando infamarla públicamente, tuvo la intención de dejarla en privado.","José, me xi cuixan cojo na jan ne, tyjahi me cojo cjuatacun rë me xcun Nina. Hane xi mijí scandi me cjuasava rë na, catsingatahacacun me xi taha hma ni ne tsismicacun me na."
"Pero cuando pensaba en estas cosas, un ángel del Señor vino a él en sueños, y le dijo: José, hijo de David, no temas tomar a María por esposa. porque el hijo que va a tener es del Espíritu Santo.","Cuatjin catsingatahacacun me xi sahmi me peru hora hya ne, cafehetsejen ngu ángel rë Nina ngajñi chini rë me, hane cuitjin cachja ángel: ―‍José, ngaye quihndi tjë rë David, ximacjintacuin xi chjehentse María cuma chjuun riji na ta, sacuaha quihndi xi yaha na ne, ngatsë rë Hasen rë Nina, camá xi casacu rë na."
Y dará a luz un hijo  y le pondrás el nombre de Jesús  porque él dará a su pueblo la salvación de sus pecados.,"Tsin rë na ngu quihndi xihin. Quihndi vë ne, tehe ñihi rë Jesús. Cuatjin cjuaha ñihi ta, tsëhë xi cuaxëtje rë xuta rë tsëhë jyë́ rë me."
"Todo esto sucedió para que la palabra del Señor por medio del profeta se cumpliera,","Yëjë xcusun vihi ne cuatjin cama, cojo sa xi cuetjucaa jain cjua xi cachja profeta nixtin hatsëë cuitjin:"
"Mira, la virgen concebirá y dará a luz un hijo, y le pondrán por nombre Emanuel, es decir, Dios con nosotros.","Ngayujun ni nutsujun ta ngu chjuun xungun ne, sacu rë na ngu quihndi xihin. Quihndi jan ne, suañihi me Emanuel. Emanuel ne, vëhë cjua xi vijne: Nina ne, jiya me ngajñi naja."
"Y José hizo como el ángel del Señor le había dicho, y la tomó por esposa;","Ngajan xi hya xi cavasca rë José ne, casahmi me tutjin cachja ángel cojo me. Cafahatsja me María ne xi camá chjuun rë me na."
Y no vivieron como esposos hasta que dio a luz a su hijo primogénito  y le dio el nombre de Jesús.,"Peru hisca xi cavatju catsin quihndi ne, sehe caviyuju cojo xicjin me. Hane casuañihi rë me quihndi jan, Jesús."
Mateo.,San Mateo.
"Cuando el nacimiento de Jesús tuvo lugar en Belén de Judea, en los días del rey Herodes, llegaron hombres magos del oriente a Jerusalén,","Nixtin xi catsin Jesús nangui Belén, distritu Judea, nixtin hya ne, Herodes vitexa me xuta nangui vë. Hacuaha nixtin hya ne, ngu jo cha xi vechutaha cjuatacun rë ne, cavetjun cha ladu vetjucaa tsuhi cafehe cha nandya Jerusalén."
"Diciendo: ¿Dónde está el Rey de los Judíos, cuyo nacimiento ha tenido lugar ahora? Hemos visto su estrella en el este y hemos venido a darle culto.",Hane cuitjin cachja cha: ―‍¿Jani sacu niji quihndi xi cuitexa nangui Israel? ta cahyin xi cavetjucaa niñú rë me ngajan ladu vetjucaa tsuhi. Hane nduvintjenguin me xi chjihinrcuin me.
"Y cuando llegó el oído del rey Herodes, se turbó, y toda Jerusalén con él.","Hya xi cama ne, jemu cama xti rë Herodes xi tu cahndë me cjua jan; cojo xuta nangui Jerusalén ne, cama xti rë me."
"Y reunió a todos los principales sacerdotes y escribas del pueblo, preguntándoles dónde estaría el lugar de nacimiento del Cristo.","Hya xi cama ne, Herodes ne, cajindayavaha me yëjë ni nahmi xi matitjun cojo yëjë cha vicuya cjuachacun rë xuta nangui Israel. Sehe cavinenguise me ¿jani xi tsin xu me xi má Cristu?"
"Y ellos le dijeron: En Belén de Judea; porque así está escrito en los escritos del profeta,","Hane cuitjin cafayangui me: ―‍Ngajan nandya Belén, distritu Judea tsin ta cuatjin catsihindu profeta tsëhë nandya jan xi ngajan tsin quihndi:"
"Y tú Belén, en la tierra de Judá, no eres la más pequeña entre los príncipes de Judá: de ti saldrá un gobernante, que apacentará a mi pueblo Israel.","Ngaye, nandya Belén, ngaye nandya tsëhë xuta tjë rë Judá, hacuaha vengui chji ri xcun xuta matitjun nangui Judá. Ta ngajñi rë xuta riji ne cuetjutsejen ngu me xi cuitexa rë xuta naha, xuta nangui Israel."
"Entonces Herodes llamó a los hombres magos en privado, y les hizo preguntas sobre a qué hora se había visto la estrella.","Hya xi camá ne, Herodes ne, cajindayahma me cha xi vechu cjuatacun rë jan. Cafahataha rë me cha. ¿Mé hora cjuaquixi tsëhë mé nixtin camatsejen niñú jan?"
"Y los envió a Belén, y dijo: Ve y asegúrate donde está el niño; y cuando lo hayas visto, déjame tener noticias de él, para que pueda venir y darle culto.","Ngaxtun vëhë ne, sehe cavitexa me cha xi cjue cha Belén. Hacuaha cuitjin cachja me cojo cha: ―‍Tangun ngajan Belén. Chjinengunsunndujun yëjë tsëhë quihndi. Hane xi sacu nuju cjuaquixi ne, ningatjun ná cjua sehe cojo ngahan ne hacuaha cjuë́ cjuahárcun quihndi."
"Y oyendo al rey, se fueron; y la estrella que vieron en el este fue delante de ellos, hasta que se detuvo sobre el lugar donde estaba el niño.","Xi cavihndë cha xi cuicun vi cjua jan, cavetju cha quiji cha. Hane niñú xi cavetjucaa ngajan ladu vetjucaa tsuhi jan ne, hacuaha quiji titjun hisca xi cavechu cahndë́ hiscan xi jiña quihndi, hane ngajan cavasén."
"Y cuando vieron la estrella, se llenaron de alegría.","Hane xi cavëë cha niñú xi ngajan cavasen ne, jercu tu ndama camaha ni rë cha."
"Y entraron en la casa, y vieron al niño pequeño con María, su madre; y cayendo sobre sus rostros le dieron culto; y abriendo sus tesoros le dieron ofrendas de oro, perfume y Mirra.","Hane xi cavisehen cha ndihya hiscan siu me ne, cavëë cha quihndi jan. Hacuaha cavëë cha naa rë me, xi hmí rë María. Sehe quiji cavixcuhnchi cha cafaharcun cha quihndi jan. Hane sehe cavuxaha cha hiscan hincha rë cha cuatjo, hane casua cha oro cojo tyjungunsa cojo tyjungunjne xi hmí rë mira."
Y les fue manifestado por Dios en sueños que no debían regresar a Herodes  entonces ellos entraron a su país por otro camino.,"Hya xi cavatju vëhë ne, tsëhë xi cachja chini cojo rë cha xi cuyaain cha taha ladu hiscan tacun Herodes ne, tahaxin cavuya cha nangui rë cha."
"Después que partieron ellos, un ángel del Señor vino a José en sueños, y le dijo: Levántate, toma al niño y a su madre, y vete a Egipto, y no vuelvas de allí hasta que yo te dé palabra; porque Herodes estará buscando al niño para matarlo.","Hya xi quiji cha xi vechu cjuatacun rë jan ne, cafehetsejen ngu ángel rë Nina ngajñi chini rë José, hane cachja cuitjin: ―‍Tisatjinhngue, tihincueje quihndi cojo naa rë. Tiyun hiscan nangui Egipto. Hane ngajan cuinechun hisca xi tsingátju cjua xi cuyun. Cuatjin nihñu ta tsëhë xi Herodes ne, cuanguise me quihndi xi tsiquehen me."
"Entonces tomó al niño y a su madre de noche, y se fue a Egipto;","Hane cavisatjenhnga me nixten quijicojo me quihndi jan cojo naa rë, cafe me Egipto."
"Y estuvo allí hasta la muerte de Herodes; para que la palabra del Señor por medio del profeta se haga realidad, de Egipto llamé a mi hijo.","Hane xi cafehe me ngajan Egipto ne, ngajan caviyujutaha me hisca nixtin xi cahme Herodes. Cuatjin cama sehe hatuxa camachihin cjua xi catsingatju Nina cojo profeta rë me hatsëë nixtin. Cuitjin chja cjua jan: “Cajindáya rë quihndi naha xi nduvaniji tsëhë nangui Egipto.”"
"Entonces Herodes, cuando vio que había sido engañado por los magos, se enojó mucho; y envió y mató a todos los hijos varones en Belén y en todas las partes de alrededor, desde los dos años y menos, de acuerdo con el tiempo que le habían dicho los magos.","Hya xi camachaya rë Herodes xi camá cavindacha cha xi vechu cjuatacun rë jan ne, jercu cama cjan rë me. Hane cavitexa me yo xi tsiquehen rë yëjë ni quihndi xihin xi cjëë cjuë jyan nu, yëjë ni quihndi nandya Belén cojo distritu rë."
"Entonces la palabra del profeta Jeremías se hizo realidad,",Vëhë cjua xi cachja Nina xi catsihindu profeta Jeremías:
"En Ramá hubo un sonido de llanto y gran tristeza, Raquel llorando por sus hijos, y ella no quiso ser consolada por su pérdida.","Vinuhya rë cjuava ngajan nandya Ramá. Jemu tjin cjuandusin. Na Raquel ne, jihndava na ngatsë rë quihndi rë na. Hane tsajin cjuetacun xi cuma rë na ta tsëhë xi ha cafë quihndi."
"Pero cuando Herodes hubo muerto, un ángel del Señor se presentó en sueños a José en Egipto,","Hane xi cavatju cahme Herodes ne, cavuya cafehetsejen nga ángel rë Nina ngajñi chini rë José ngajan Egipto ne,"
"Diciendo: Levántate, toma al niño y a su madre, y vete a la tierra de Israel; porque los que estaban tratando de tomar la vida del niño pequeño han muerto.",cuitjin cachja: ―‍Tisatjinhngue tihincueje quihndi cojo naa rë. Tihinniji nandya Israel. Tihin ta tsëhë xi ha cahme cha xi meje tsiquehen rë quihndi. Cuatjin cachja.
"Entonces él se levantó, y tomó al niño y a su madre, y vino a la tierra de Israel.","Hya xi camá ne, cavisatjenhnga José ne, sehe cavetju me quijicojo me quihndi cojo naa rë, hane sehe cavisehen nga me nangui Israel."
"Pero oyendo que Arquelao gobernaba sobre Judea en lugar de su padre Herodes, temió ir allá; y avisado por Dios en sueños, se fue a la región de Galilea.","Peru xi cahndë José xi Archelaus vitexa me distritu Judea ta me vëhë vitexa me ngojo rë nahmi rë me, Herodes, vëhë xi camacjincacun José mijí cjue me ngajan. Hane xi cachja chini cojo rë me ne, sehe cavisehen me distritu Galilea."
"Y vino, y vivió en un pueblo llamado Nazaret, para que la palabra de los profetas se cumpliera, se le llamaría Nazareno.","Caviyujutaha me ngajan ngu nandya xi hmí rë Nasaret. Cuatjin cama sehe cuetjucaa cjua xi catsihindu profeta tsëhë me xi xuta ne, cuichja me xi Jesús ne, xuta Nasaret me."
Mateo.,San Mateo.
"Y en aquellos días vino Juan el Bautista a predicar en el desierto de Judea,","Nixtin hya ne, cavetjucaa tsejen Juan Vitenda rë Xuta ngajan nguijña tsëhë distritu Judea."
Diciendo: arrepiéntanse  porque el reino de los cielos está cerca.,"Cuitjin catsiquihndë me xuta: ―‍Nindeyun cjuatacun nuju ta, camatiña nixtin xi Nina ne, cuitexa me ngasunhndë."
"Porque este es aquel de quien dijo el profeta Isaías: Voz del que clama en el desierto: Prepara el camino del Señor, endereza sus caminos.","Cuatjin tsëhë cha Juan vihi, cha vihi xi camahindu tsëhë cha xcun xujun xi chja cjua rë profeta Isaías xi chja cuitjin: Cuitjin jercu hñu tsiquihndë ngu xuta ngajan hiscan jemu xín tsëhë nandya: “Tuhun chjinu ndiya xi cuinduva Nina; hacuaha ninguixun cjuatacun nuju tsëhë me.” Cuatjin cachja me."
"Ahora Juan estaba vestido de pelo de camello, con una banda de cuero a su alrededor; y su comida era chapulines y miel.","Tsjian rë Juan jan ne, tsja rë chu camellu camá hacuaha cojo ngu cinturón chuxin tsihñu me cahntsua me. Hane xi jinë me ne, chu nchahva cojo tsjen rë chu tusen."
"Entonces salió Jerusalén,y toda Judea, y todo el pueblo que estaba cerca del Jordán;","Hane jemu cjín xuta quijitjengui me Juan, xuta nandya Jerusalén, xuta distritu Judea cojo xuta xi siutahandee rë ndajyë Jordán."
"Y ellos fueron bautizados por él en el río Jordán, diciendo abiertamente que habían pecado.","Xuta jan, xi cavijacun me jyë́ rë me cojo Nina camá cavitenda Juan me ngajan ndajyë Jordán."
"Pero cuando vio que algunos de los fariseos y saduceos venían a su bautismo, les dijo: generación de serpientes, ¿Quien les enseñó de huir de la ira venidera?","Peru xi cavutsejen Juan xi cjín xuta tifehe tixtenda me; cha tsëhë partidu fariseo cojo cha tsëhë partidu saduceo ne cachja me cojo cha cuitjin: ―‍¡Ngayujun ni ngayun quihndi rë chu tsehen matsejen ne!, ¿yo cavinchangui nuju xi nihñu ngahñu xi cjuetjuntjun tsëhë castigu xi hatuxa tsingatju Nina?"
Pórtense de tal modo que se vea el cambio de corazón en sus obras.,"Sá xi meje jain cjuetjuntjun matsejen ne, nihñu suvá cjuandaja sacuatjin sahmi xuta xi catsindeya jain me cjuatacun rë me."
"Y no pronuncien a sí mismos: Tenemos a Abraham por nuestro padre; porque les digo que Dios puede, hacer de estas piedras, hijos para Abraham.","Xicanujuun cahntsua xahasen nuju cjua vihi: “Ngayaan ne, tsajin mé cuma naja ta, tsëhë xi tjë rë Abraham ngayaan.” Xicanujuun cuatjin matsejen ta, nguehe cuichjá cojo nuju ta Nina ne, hisca cojo ndyojo xi cuicun vi ne, cuma sahmi me xi cumá tjë rë Abraham."
"Y aun ahora el hacha está puesta a la raíz de los árboles; cada árbol que no da buen fruto es cortado, y puesto en el fuego.","Chutsujun ta ngayun matsejen ne, tangun ngayun cojo yatjë xi ha quitahachjine quicharcu tyjama rë xi cuetsihin xti rë. Yëjë ni yatjë xi suaain tu xi ndaja matsejen ne, xtí rë, sehe cueti."
"En verdad, les doy el bautismo de agua a aquellos de ustedes cuyos corazones han cambiado; pero el que viene después de mí es más poderoso que yo, cuyo calzado no soy digno de llevar: él les dará el bautismo con el Espíritu Santo y con fuego:","Ngahan matsejen ne, cojo nandá ni tiviténda nuju, peru sehe cuinduva me xi hitsë sa jyë ngahñu tjin rë cjuatacun rë xi cuma ná ngahan, me xi hitsë sa jyë hnga cojo cjuatacun rë xi cuma ná ngahan. Hane me vëhë cueya me Hasen rë Nina cahntsua xahasen nuju, hacuaha tangun me sacuaha ngu ndihi xi tsityjahi rë cjuatacun nuju."
"En cuya mano está el instrumento con el que limpiará su grano; él pondrá el grano bueno en su granero, y la paja será quemada en el fuego que nunca se apagará.","Me vëhë matsejen ne, sacuaha xi ha yahatsja me quicha xi tsicaha rë xtë rë trigu cojo sa xi cuma tyjahi ndaja trigu xi casechun rë tsëhë me, hacuaha cjuaya me trigu tyjahi xi cuinchandaja me, hane xtë rë jan matsejen ne, cuaca me xcun ndihi xi tsajin nixtin coho. ―‍Cuatjin cachja Juan."
"Entonces Jesús vino de Galilea a Juan en el Jordán, para ser bautizado por él.","Nixtin hya ne, hacuaha cavetju Jesús tsëhë distritu Galilea hane cafehe me ndajyë Jordán xi xtenda me."
"Pero Juan al principio se lo quería impedir: Soy yo el que necesito del bautismo de ti, ¿y vienes a mí?",Peru mijí sua Juan cahndë́ ta cachja me: ―‍Hitsë sa ndaja xi ngayun cuitendun ná. Hacuiin xi ngahan cuitenda nuju.
"Respondió Jesús y le dijo: Deja que así sea ahora, porque es justo que hagamos la justicia completa como Dios ha ordenado. Luego le dio el bautismo.","Ngajan xi cafayangui Jesús cuitjin: ―‍Jéya, cuatjin ndatjin xi cuma quihndë ta mameje rë xi cumachihin yëjë xcusun xi cavitexa Nina. Hane catsingatihin Juan ne, cavitenda me Jesús."
"Y Jesús, habiendo sido bautizado, de inmediato subió del agua; y, al abrirse los cielos, vio al Espíritu de Dios que descendía sobre él como una paloma;","Xi cama caxtenda Jesús ne, xi tu tivetju me tsëhë nandá jan ne, ngajan cavëë me xi ngahnga ne, catuxaha. Hane Hasen rë Nina ne, canduvajnetsejen casesun rcu me. Hane sacuajyihi xcusun rë ngu paloma jyihi."
"Y salió una voz del cielo, que decía: Este es mi Hijo amado, en quien tengo complacencia.",Hacuaha canuhya rë ngu cjua ngajan ngahnga xi cachja cuitjin: ―‍Cha vihi xi quihndi naha xi hmú cácun. Jemu ndama ná ngatsë rë cha.
Mateo.,San Mateo.
Luego Jesús fue enviado por el Espíritu al desierto para ser probado por el diablo.,"Hya xi camá ne, Hasen rë Nina ne, quijiniji xu cojo Jesús ngajan ngu xín tsëhë nandya ta ngajan cjuahachuva xitsehen me."
"Y después de estar sin alimento durante cuarenta días y cuarenta noches, tuvo hambre.","Hya xi cama ne, Jesús ne, yachan nixtin cojo yachan nixten cajinii me niñu. Hya xi cavatju vëhë ne, jercu camavojo rë me."
"Y vino el Maligno y le dijo: Si eres Hijo de Dios, di la palabra para que estas piedras se conviertan en pan.","Sehe camatiñataha xu xitsehen xi cjuahachuva rë me. Cachja cojo rë me cuitjin: ―‍Sá xi ngaye jain xi Quihndi rë Nina ngaye ne, tinoje cojo ndyojo vihi ne, catama niñu. ―‍Cuatjin xu cachja xitsehen cojo rë me."
"Pero él respondió y dijo: Está en las Escrituras: el pan no es la única necesidad del hombre, sino toda palabra que sale de la boca de Dios.","Peru cuitjin cafayangui me tsëhë xitsehen jan: ―‍Xcun xujun rë Nina ne, cuitjin camahindu: “Hacuiin suvá ngatsë rë niñu xi siu xuta cjuahñu ta hacuaha mameje rë me tsëhë yëjë ni cjua xi catsingatju Nina.”"
Entonces el diablo lo llevó a la ciudad santa  y lo puso en el punto más alto del Templo y le dijo:,"Sehe xitsehen jan quijicojo xu rë me nandya Jerusalén, nandya ximinchacun, quijisun xu me rcu cjin yungun xi matitjun"
"Si eres el Hijo de Dios, tírate abajo. porque está en las Escrituras, A sus ángeles mandará acerca de ti; y, en sus manos te sostendrán arriba, para que tu pie no sea aplastado contra una piedra.","sehe ngajan xi cachja xu xitsehen: ―‍Sá xi ngaye jain xi Quihndi rë Nina ngaye ne, ningatjin yojo riji tsëhë ndyá ne hisca nangui. Ndaja hye ta tsajin mé cuma ri ta xcun xujun rë Nina ne, cuitjin chja: Nina ne cuitexa me ángel rë me xi sahmi ri cuidadu. Cjuahántsa ri, cojo sa xi ntsacui ne, sacuinhmuaain rë cojo hisca ngu ndyojo."
Jesús le dijo: Otra vez está en las Escrituras: No pongas a prueba al Señor tu Dios.,Ngajan xi cafayangui xu Jesús tsëhë xitsehen cuitjin: ―‍Hacuaha cuitjin chja xcun xujun rë Nina: “Mijí rë xi chjuhunchuvun Nina nuju.” ―‍Cuatjin xu cachja Jesús.
"Otra vez, el diablo lo llevó a una montaña muy alta, y le permitió ver todos los reinos del mundo y la gloria de ellos;","Hane ngu ndiya nga quijicojo xitsehen Jesús, quijicojo rë me ngu ndetjún hnga ne, sehe catsingacun xitsehen jan me jingujyë ni nandya tsëhë ngasunhndë cojo yëjë ni cjuanchina xi tjin rë."
"Y él le dijo: Todo esto te lo daré, si te inclinas y me adoras.",Ngajan xi cachja xitsehen cojo rë me cuitjin: ―‍Suá ri yëjë nandya xi cuacún vë cojo cjuanchina rë. Hatuxa suá ri sa xi cuindove cuiticjexcuin nguehe xi chjehercuin ná.
"Entonces Jesús le dijo: ¡Vete, Satanás! Porque escrito está en las Escrituras, adora al Señor tu Dios, y a él solo servirás.","Sehe cafayangui Jesús tsëhë xitsehen cuitjin: ―‍Tihinxin Satanás, ta tsëhë xi xcun xujun rë Nina ne, cuitjin camahindu: “Meje rë xi chjuhunrcun Nina naja, hacuaha ngu ni me vëhë xi meje rë xi nihñuchuhun hacutjin xi meje rë me.”"
"Entonces el diablo se alejó de él, y los ángeles vinieron y le servían.","Xi cuatjin xu cachja Jesús cojo xitsehen jan ne, cavetjuxin tsëhë me. Hane cafehe tjengui ángel me xi cjuahacuenda rë me."
"Cuando llegó a sus oídos que Juan había sido encarcelado, se fue a Galilea;","Xi camachaya rë Jesús xi jiya Juan Vitenda rë Xuta ndavaya ne, quiji me distritu Galilea."
"Y saliendo de Nazaret, vino y habitó en Capernaúm, que está junto al mar, en la tierra de Zabulón y Neftalí.","Hane cavetjuxin me tsëhë nandya Nasaret, quiji cavejña me nandya Capernaum. Nandya jan ne, tacun tjehen rë ndajyë. Hane nandya jan ne tsëhë xuta tjë rë Zabulón cojo Neftalí."
"Para que la palabra del profeta Isaías se hiciese realidad,",Cuatjin cama sehe camachihin cjua xi camahindu xcun xujun xi chja cjua rë profeta Isaías xi chja cuitjin:
"La tierra de Zabulón y la tierra de Neftalí, por el camino del mar, al otro lado del Jordán, Galilea de los Gentiles,","Xuta xi viyuju me nangui rë Zabulón cojo Neftalí, nangui ngajan ngunda ndajyë Jordán, ngajan tjehen rë ndachacun, tsëhë distritu Galilea, nangui rë xutaxín."
"La gente que estaba en la oscuridad vio una gran luz, y a los que estaban en la tierra de la sombra de la muerte Luz les resplandeció.","Xuta jan xi jñu cjuatacun rë me, cavëë me ngu me xi sacuaha ngu ndihi seti xi sua rë me cjuahasen. Xuta xi jemu tsavi siu me tsëhë cjuaveya, ndihi jan ne casua rë me hasen rë."
"Desde entonces, Jesús anduvo predicando y diciendo: Deja que tu corazón se aparte del pecado, porque el reino de los cielos está cerca.","Nixtin hya ne, Jesús ne, cavetsihin catsujyihiya me cachja me cojo xuta cjua rë Nina. Cuitjin cachja me: ―‍Nindeyun cjuatacun nuju ta tsëhë xi camatiña nixtin xi Nina ne cuitexa me ngasunhndë."
"Y cuando andaba junto al mar de Galilea, vio a dos hermanos, Simón, cuyo otro nombre era Pedro, y Andrés, su hermano, que estaban poniendo una red en el mar; porque ellos eran pescadores.","Cama ngu nixtin xi tsujyihiya me ngajan tjehen laguna tsëhë Galilea ne, cavëë me jo me xi hntsë, ngu me xi hmí rë Simón cojo ngu me xi hmí rë Andrés. Titsingatjenya me changa ngajñi ndachacun, tsëhë xi hatuxa xá rë me xi faha me chu ti."
"Y les dijo: Vengan en pos de mí, y los haré pescadores de hombres.","Hane Jesús ne, cachja me cojo me cuitjin: ―‍Nduvun cuanguen cojo ná. Hane cuicuyá nuju xi cuangun nuvun xuta xi cuisehen me ladu naha ngojo rë xi nuvun chu ti. ―‍Cuatjin cachja me."
Y enseguida soltaron las redes y fueron tras él.,"Hane hora vëhë ni caviyuju me changa jan, hane cavetju me quiji me cojo Jesús."
"Y pasando de allí, vio a otros dos hermanos, Jacobo, hijo de Zebedeo, y Juan, su hermano, en el barco con su padre, que cosían sus redes; y él dijo: Ven.","Hitsë sa nguvan ne, cavëë Jesús jo cha xi hacuaha hntsë: Jacobo cojo Juan, cha quihndi rë Zebedeo. Hincha cha cahntsua barcu cojo nahmi rë cha, ngajan tifuyataha cha changa rë cha. Hacuaha cajindaya Jesús cha xi cjuecojo me cha."
"Y partieron del barco y de su padre, y vinieron en pos de él.","Sehe caviyuju cha barcu jan, hane cavejña cha nahmi rë cha quiji cha cojo Jesús."
